image,superclass_index,subclass_index,description
352.jpg,2,13,"nature photograph of a reptile, specifically a agama, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
3409.jpg,0,78,"nature photograph of a bird, specifically a indigo bunting, indigo finch, indigo bird, Passerina cyanea, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
6159.jpg,1,37,"nature photograph of a dog, specifically a Maltese dog, Maltese terrier, Maltese, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
3167.jpg,0,5,"nature photograph of a bird, specifically a bustard, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
4472.jpg,1,7,"nature photograph of a dog, specifically a Pekinese, Pekingese, Peke, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
3017.jpg,0,51,"nature photograph of a bird, specifically a ostrich, Struthio camelus, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
4282.jpg,0,28,"nature photograph of a bird, specifically a black grouse, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1484.jpg,2,69,"nature photograph of a reptile, specifically a tree frog, tree-frog, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
5669.jpg,1,18,"nature photograph of a dog, specifically a Blenheim spaniel, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
91.jpg,2,29,"nature photograph of a reptile, specifically a spotted salamander, Ambystoma maculatum, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
3444.jpg,0,83,"nature photograph of a bird, specifically a robin, American robin, Turdus migratorius, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
201.jpg,1,32,"nature photograph of a dog, specifically a giant schnauzer, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
4979.jpg,1,23,"nature photograph of a dog, specifically a Dandie Dinmont, Dandie Dinmont terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1280.jpg,0,26,"nature photograph of a bird, specifically a albatross, mollymawk, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
3338.jpg,2,52,"nature photograph of a reptile, specifically a triceratops, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
5626.jpg,0,56,"nature photograph of a bird, specifically a bulbul, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
551.jpg,1,70,"nature photograph of a dog, specifically a toy terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
3791.jpg,0,20,"nature photograph of a bird, specifically a king penguin, Aptenodytes patagonica, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
4268.jpg,2,29,"nature photograph of a reptile, specifically a spotted salamander, Ambystoma maculatum, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
3041.jpg,0,51,"nature photograph of a bird, specifically a ostrich, Struthio camelus, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1693.jpg,2,43,"nature photograph of a reptile, specifically a American alligator, Alligator mississipiensis, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
3248.jpg,0,4,"nature photograph of a bird, specifically a great grey owl, great gray owl, Strix nebulosa, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
3098.jpg,1,2,"nature photograph of a dog, specifically a standard schnauzer, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
2589.jpg,2,35,"nature photograph of a reptile, specifically a thunder snake, worm snake, Carphophis amoenus, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
3672.jpg,2,3,"nature photograph of a reptile, specifically a terrapin, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
6180.jpg,2,29,"nature photograph of a reptile, specifically a spotted salamander, Ambystoma maculatum, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
992.jpg,2,58,"nature photograph of a reptile, specifically a African crocodile, Nile crocodile, Crocodylus niloticus, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
5387.jpg,0,75,"nature photograph of a bird, specifically a chickadee, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
3242.jpg,1,12,"nature photograph of a dog, specifically a Tibetan terrier, chrysanthemum dog, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
919.jpg,0,24,"nature photograph of a bird, specifically a bald eagle, American eagle, Haliaeetus leucocephalus, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1206.jpg,1,7,"nature photograph of a dog, specifically a Pekinese, Pekingese, Peke, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
4597.jpg,1,31,"nature photograph of a dog, specifically a Shih-Tzu, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
322.jpg,2,57,"nature photograph of a reptile, specifically a alligator lizard, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
851.jpg,1,65,"nature photograph of a dog, specifically a beagle, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
4306.jpg,0,86,"nature photograph of a bird, specifically a European gallinule, Porphyrio porphyrio, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
4933.jpg,1,45,"nature photograph of a dog, specifically a Australian terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
5391.jpg,0,26,"nature photograph of a bird, specifically a albatross, mollymawk, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
723.jpg,0,42,"nature photograph of a bird, specifically a oystercatcher, oyster catcher, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
3131.jpg,0,75,"nature photograph of a bird, specifically a chickadee, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
2797.jpg,0,30,"nature photograph of a bird, specifically a vulture, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
